,index,Unnamed: 0,graph,cnmr,smiles
8379,8393,8393,010026936.pickle,010026936.csv,C(C(C([H])([H])[H])(C([H])([H])[H])SC#N)([H])([H])[H]
8380,8394,8394,010026956.pickle,010026956.csv,C1(=C(C(=C(C(=C1[H])C(=NO[H])[H])[H])[H])[H])[H]
8381,8395,8395,010026957.pickle,010026957.csv,C(C(C([H])([H])[H])([H])[H])(=NO[H])[H]
8382,8396,8396,010026959.pickle,010026959.csv,C(C(C(=NO[H])[H])([H])[H])([H])([H])[H]
8383,8397,8397,010026960.pickle,010026960.csv,C=1(C(=C(C(=C(C1[H])N(N=C(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H])[H]
8384,8398,8398,010026976.pickle,010026976.csv,C(N([N+]([O-])=O)C([H])([H])[H])([H])([H])[H]
8385,8399,8399,010026996.pickle,010026996.csv,C=1(C(=C(C(=C(C1N=O)[H])[H])N(C([H])([H])[H])C([H])([H])[H])[H])[H]
8386,8400,8400,010027018.pickle,010027018.csv,C(C(C([H])([H])[H])=C(C([H])([H])[H])[H])([H])([H])[H]
8387,8401,8401,010027036.pickle,010027036.csv,C1(=C(C(=C(C(=C1[H])C(=C(C(C(=C(C(=C(C2=C(C(=C(C(=C2[H])[H])O[H])[H])[H])[H])[H])O[H])[H])=O)[H])[H])[H])[H])O[H])[H]
8388,8402,8402,010027066.pickle,010027066.csv,C1(=C(C(=C(C(=C1[H])C(C(C(C(=C(C(=C(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])[H])[H])[H])[H])(O[H])[H])([H])[H])([H])[H])[H])[H])[H])[H]
8389,8403,8403,010027086.pickle,010027086.csv,C1(=C(C(=C(C(=C1[H])C(C(C(C(=C(C(C(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])([H])[H])([H])[H])[H])[H])=O)([H])[H])([H])[H])[H])[H])[H])[H]
8390,8404,8404,010027106.pickle,010027106.csv,C1(=C(C(=C(C(=C1[H])C(C(C(C(=C(C(C(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])([H])[H])([H])[H])O[H])[H])=O)([H])[H])([H])[H])[H])[H])[H])[H]
8391,8405,8405,010027147.pickle,010027147.csv,C1(=C(C(=C(C(=C1[H])C(C(C(C(=C(C(=C(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])[H])[H])[H])[H])=O)([H])[H])([H])[H])[H])[H])[H])[H]
8392,8406,8406,010027149.pickle,010027149.csv,C1(=C(C(=C(C(=C1[H])C(=C(C(C(=C(C(=C(C2=C(C(=C(C(=C2[H])[H])O[H])[H])[H])[H])[H])O[H])[H])=O)[H])[H])[H])[H])O[H])OC([H])([H])[H]
8393,8407,8407,010027167.pickle,010027167.csv,C=1(C(=C(C(=C2C1C3(C(N2[H])(N4C(C3([H])[H])(C(OC(C4=O)(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])=O)[H])[H])C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])[H])[H])[H]
8394,8408,8408,010027186.pickle,010027186.csv,C=1(C(=C(C(=C2C1C(=C(N2[H])C(C([H])([H])[H])(C([H])([H])[H])C(=C([H])[H])[H])C(=O)[H])[H])Br)[H])[H]
8395,8409,8409,010027206.pickle,010027206.csv,C1(=C(C(=C(C(=C1[H])C(=C(C(C(=C(C(=C(C2=C(C(=C(C(=C2[H])OC([H])([H])[H])O[H])[H])[H])[H])[H])O[H])[H])=O)[H])[H])[H])[H])O[H])OC([H])([H])[H]
8396,8410,8410,010027246.pickle,010027246.csv,C=1(C(=C(C(=C(C1C=2C(=C(C(=C(C2[H])C(C(=C([H])[H])[H])([H])[H])O[H])[H])[H])[H])C(C(=C([H])[H])[H])([H])[H])[H])[H])O[H]
8397,8411,8411,010027266.pickle,010027266.csv,C1(C2(N3C(C(N1[H])(C4(C2([H])[H])C=5C(N6C4(N(C(C6=O)([H])C([H])([H])[H])[H])[H])=C(C(=C(C5[H])[H])[H])[H])[H])=NC7=C(C3=O)C(=C(C(=C7[H])[H])[H])[H])[H])=O
8398,8412,8412,010027286.pickle,010027286.csv,C(C(C([H])([H])[H])(C([H])([H])[H])[H])(C(C([H])([H])[H])([H])[H])=O
8399,8413,8413,010027307.pickle,010027307.csv,C1(=C(C(=C(C(=C1[H])C(C(C(C(C(C(C(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])([H])[H])([H])[H])(O[H])[H])([H])[H])=O)([H])[H])([H])[H])[H])[H])[H])[H]
8400,8414,8414,010027308.pickle,010027308.csv,C1(C(C(I)([H])[H])([H])[H])(C(O1)([H])[H])[H]
8401,8415,8415,010027309.pickle,010027309.csv,C1(OC(C(O[H])([H])[H])(C(O1)([H])[H])[H])(C([H])([H])[H])C([H])([H])[H]
8402,8416,8416,010027326.pickle,010027326.csv,C1(=C(C(=C(C(=C1[H])[H])OC(C2(C(O2)([H])[H])[H])([H])[H])[H])[H])[H]
8403,8417,8417,010027346.pickle,010027346.csv,C(O[H])(C(=C(C(C(C([H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H]
8404,8418,8418,010027366.pickle,010027366.csv,C1(=C(C2=C(C(=C1[H])O[H])C(C(=C(C2=O)[H])[H])=O)[H])[H]
8405,8419,8419,010027386.pickle,010027386.csv,C(O[H])(C(C(C(C(=C([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
8406,8420,8420,010027406.pickle,010027406.csv,C1(=C2C3=C(C(=C(C(=C3C4(C(C(C(N(C4(C2([H])[H])[H])C([H])([H])[H])([H])[H])(C([H])([H])[H])[H])(OC(C([H])([H])[H])=O)[H])[H])[H])[H])[H])N1[H])[H]
8407,8421,8421,010027407.pickle,010027407.csv,C1(=C2C=3C(=C(C(=C(C3C4(C(C(C(N(C4(C2([H])[H])[H])C([H])([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])[H])[H])[H])N1[H])[H]
8408,8422,8422,010027408.pickle,010027408.csv,C1(=C(C2(C(C1(C(C(C2([H])[H])([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])[H])(C(=O)[H])[H])C([H])([H])[H])C([H])([H])[H])C(=O)[H]
8409,8423,8423,010027409.pickle,010027409.csv,C12(C(C(C(C(C1(C(O[H])([H])[H])[H])(C(=C2C(=O)[H])C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])[H]
8410,8424,8424,010027410.pickle,010027410.csv,C12(C(C(C(C3(C1(C(C(C2(C3=C([H])[H])[H])(O[H])[H])(O[H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])[H]
8411,8425,8425,010027426.pickle,010027426.csv,[C-]([N+]#N)([H])[H]
8412,8426,8426,010027427.pickle,010027427.csv,C(=[N+]=[N-])([H])[H]
8413,8427,8427,010027446.pickle,010027446.csv,C=1(C(C(=C2C(C1[H])(C3(C(C(C2([H])[H])([H])[H])(C4(C(C(C3([H])[H])(OC(=O)C([H])([H])[H])[H])(C(C(C4([H])[H])(OC(=O)C([H])([H])[H])[H])(C(C(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])O[H])[H])C([H])([H])[H])[H])[H])[H])C([H])([H])[H])[H])=O)[H]
8414,8428,8428,010027466.pickle,010027466.csv,C(=C(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])=O)[H])(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])O[H]
8415,8429,8429,010027487.pickle,010027487.csv,C12(C(C(C(C(C([H])([H])[H])(O1)[H])([H])[H])([H])[H])(O[H])[H])OC(=C3C(=O)C(C([H])([H])[H])(OC(=O)C([H])([H])[H])C(=O)C(=C3C2(OC(C(C([H])([H])[H])=C(C(=C(C([H])([H])[H])[H])[H])[H])=O)[H])[H])[H]
8416,8430,8430,010027526.pickle,010027526.csv,C1(C(=C(C(C(=C(C(C(C(=C(C1([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])[H])[H])(C([H])([H])[H])C([H])([H])[H]
8417,8431,8431,010027546.pickle,010027546.csv,C12(C(C(C(C(C1(C([H])([H])[H])C([H])([H])[H])(C(C(=C(C(C(C(=C(C(C2([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C(O[H])([H])[H])[H])([H])[H])[H])([H])[H])([H])[H])(O[H])C([H])([H])[H])[H]
8418,8432,8432,010027566.pickle,010027566.csv,C12(C(C(C(C(C1(C([H])([H])[H])C([H])([H])[H])(C(C(=C(C(C(C(=C(C(C2([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])([H])[H])([H])[H])=C([H])[H])[H]
8419,8433,8433,010027586.pickle,010027586.csv,C12(C(=C(C(C(C1(C([H])([H])[H])C([H])([H])[H])(C(C(=C(C(C(C(=C(C(C2([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])([H])[H])[H])C([H])([H])[H])[H]
8420,8434,8434,010027587.pickle,010027587.csv,C12=C(C(C(C(C1(C([H])([H])[H])C([H])([H])[H])(C(C(C(C(C(C(=C(C(C2([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])=C([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H]
8421,8435,8435,010027607.pickle,010027607.csv,C1(OC(C(C(C1(O[H])[H])(OC(=O)C(C([N+]([O-])=O)([H])[H])([H])[H])[H])(OC(C([H])=C([H])[H])=O)[H])(O[H])[H])(C(OC(=O)C(C([N+]([O-])=O)([H])[H])([H])[H])([H])[H])[H]
8422,8436,8436,010027626.pickle,010027626.csv,C1(C(C(C(C2(C1(C(C(C3(C2(C(C(C4(C3(C(C(C5=C4C(OC5([H])[H])=O)(OC(C([H])([H])[H])=O)[H])([H])[H])[H])C([H])([H])[H])(O[H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
8423,8437,8437,010027666.pickle,010027666.csv,C(C12C(C3(C(C1(C2(C3([H])[H])[H])[H])([H])[H])[H])(C([H])([H])[H])C(C(=C(C(C([H])([H])[H])(O[H])C(O[H])([H])[H])[H])[H])([H])[H])([H])([H])[H]
8424,8438,8438,010027667.pickle,010027667.csv,C(C1(C(C2(C(C(C1(C2([H])[H])[H])([H])[H])([H])[H])[H])=C([H])[H])C([H])([H])[H])(C(=C(C(C([H])([H])[H])(O[H])C(O[H])([H])[H])[H])[H])([H])[H]
8425,8439,8439,010027668.pickle,010027668.csv,C(C1(C(C2(C(C(C1(C2([H])[H])[H])([H])[H])([H])[H])[H])=C([H])[H])C([H])([H])[H])(C(C(=C(C([H])([H])[H])C(O[H])=O)[H])([H])[H])([H])[H]
8426,8440,8440,010027766.pickle,010027766.csv,C=1(C(=C(C(=C2C(=C(C=3C=4OC(=C(C4C=5N=C(OC5C3C12)[H])C([H])([H])[H])[H])[H])[H])C([H])([H])[H])[H])[H])[H]
8427,8441,8441,010027767.pickle,010027767.csv,C=1(C(=C(C(=C2C(=C(C=3C(O[H])=C(C=4N=C(OC4C3C12)[H])C(=O)C([H])([H])[H])[H])[H])C([H])([H])[H])[H])[H])[H]
8428,8442,8442,010027768.pickle,010027768.csv,C=1(C(=C(C(=C2C(=C(C=3C(O[H])=C(C=4N=C(OC4C3C12)C([H])([H])[H])C(=O)C([H])([H])[H])[H])[H])C([H])([H])[H])[H])[H])[H]
8429,8443,8443,010027786.pickle,010027786.csv,C=1(C(=C(C(=C2C(=C(C=3C(O[H])=C(C=4N=C(OC4C3C12)C(C(C(=O)OC([H])([H])[H])([H])[H])([H])[H])C(=O)C([H])([H])[H])[H])[H])C([H])([H])[H])[H])[H])[H]
8430,8444,8444,010027806.pickle,010027806.csv,C=1(C=2C(C([H])([H])[H])(C(C(C(C2C=3C=4OC(=NC4C(C(=O)C([H])([H])[H])=C(C3C1[H])O[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])C([H])([H])[H])[H]
8431,8445,8445,010027826.pickle,010027826.csv,C1(C=2C(OC(C2C(C3(C1(O3)[H])[H])(O[H])[H])([H])[H])(C(C(C(C([H])([H])[H])([H])[H])([H])[H])(O[H])[H])[H])(O[H])[H]
8432,8446,8446,010027866.pickle,010027866.csv,C123C4(C(C(C([N+]1(C(C(C(=C2C(C(C4=O)([H])[H])(C(C(C3([H])[H])(C([H])([H])[H])[H])([H])[H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H]
8433,8447,8447,010027907.pickle,010027907.csv,C1(C(=C(C(C(=C(C(C(C(=C(C1([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])=O)[H])[H])(C([H])([H])[H])C([H])([H])[H]
8434,8448,8448,010027908.pickle,010027908.csv,C1(=C2OC(OC2=C(C(=C1[H])C(C(C(C(C3=C(C(=C4OC(OC4=C3[H])([H])[H])[H])[H])([H])[H])(C(OC([H])([H])[H])([H])[H])[H])(C(OC([H])([H])[H])([H])[H])[H])([H])[H])[H])([H])[H])[H]
8435,8449,8449,010027909.pickle,010027909.csv,C1(=C2OC(OC2=C(C3=C1C(C4=C(C(=C5C(=C4[H])OC(O5)([H])[H])[H])[H])(C(C(C3([H])[H])(C(OC([H])([H])[H])([H])[H])[H])(C(OC([H])([H])[H])([H])[H])[H])[H])[H])([H])[H])[H]
8436,8450,8450,010027910.pickle,010027910.csv,C1(=C2OC(OC2=C(C(=C1C(C3(C(OC(C3(C(C4=C(C(=C(C(=C4[H])OC([H])([H])[H])O[H])O[H])[H])([H])[H])[H])=O)([H])[H])[H])([H])[H])[H])OC([H])([H])[H])([H])[H])[H]
8437,8451,8451,010027911.pickle,010027911.csv,C1(C(C2(C1(C(C(C(C([H])([H])[H])=C(C(C(C2=C([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
8438,8452,8452,010027926.pickle,010027926.csv,C1(OC=2C(=C(C(C(C3(C(OC(C3=C(C4=C(C(=C(C(=C4[H])OC([H])([H])[H])O[H])OC([H])([H])[H])[H])[H])=O)([H])[H])[H])([H])[H])=C(C2O1)[H])[H])OC([H])([H])[H])([H])[H]
8439,8453,8453,010027946.pickle,010027946.csv,C=1(C(=C(C(=C(C1[H])O[H])O[H])Br)Br)C(C(O[H])([H])[H])([H])[H]
8440,8454,8454,010027967.pickle,010027967.csv,C1(C(C(C(C2(C1(C3(C(C(C(C3(C(C2([H])[H])([H])[H])C([H])([H])[H])=C(C([H])([H])[H])C(=C(C(=C(C(=C(C(C(C([H])([H])[H])(O[H])C([H])([H])[H])(OC(C([H])([H])[H])([H])[H])[H])[H])[H])C([H])([H])[H])[H])[H])[H])=O)([H])[H])[H])C([H])([H])[H])[H])(C(=O)O[H])C([H])([H])[H])([H])OC(=O)C([H])([H])[H])([H])[H])([H])[H]
8441,8455,8455,010027987.pickle,010027987.csv,C1(C(C(C(C2(C1(C(C(C3(C2(C(C(C4(C3(C(C5(C4(C(C6(O5)OC(C(C(C6([H])[H])([H])[H])(C(O[H])([H])[H])[H])([H])[H])(C([H])([H])[H])[H])[H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])(O[H])[H])[H])C([H])([H])[H])([H])[H])(O[H])[H])(O[H])[H])([H])[H]
8442,8456,8456,010027988.pickle,010027988.csv,C(C(C(=O)O[H])([H])[H])(C12C3(C1([H])[H])C(C(C(C2(C(O[H])(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])(C4(C(C(C(C4(C(C3([H])[H])([H])[H])C([H])([H])[H])(C(C(C(C(=C(C(=O)O[H])C([H])([H])[H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H]
8443,8457,8457,010028006.pickle,010028006.csv,C1(=C(C(=C(C2=C1C(C3=C(C2=O)C(=C(C4=C3C(C(O4)(C(C([H])([H])[H])(C([H])([H])[H])O[H])[H])([H])[H])[H])O[H])(OC([H])([H])[H])[H])O[H])[H])C([H])([H])[H])C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H]
8444,8458,8458,010028046.pickle,010028046.csv,C1(C(OC2=C(C(=C(C(=C(C(=O)[H])[H])[H])C(=C2O1)[H])[H])OC([H])([H])[H])(C(O[H])([H])[H])[H])(C3=C(C(=C(C(=C3[H])OC([H])([H])[H])O[H])OC([H])([H])[H])[H])[H]
8445,8459,8459,010028047.pickle,010028047.csv,C1(C(OC2=C(C(=C(C(=C(C(O[H])([H])[H])[H])[H])C(=C2O1)[H])[H])OC([H])([H])[H])(C(O[H])([H])[H])[H])(C3=C(C(=C(C(=C3[H])OC([H])([H])[H])O[H])OC([H])([H])[H])[H])[H]
8446,8460,8460,010028066.pickle,010028066.csv,C=1(C(=C(C(=C(C1C(C(C=2C(=C(C(=C(C2[H])OC([H])([H])[H])[H])OC([H])([H])[H])[H])(OC3(OC(C(C(O[H])(C3(O[H])[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H])(O[H])[H])[H])[H])[H])[H])[H]
8447,8461,8461,010028106.pickle,010028106.csv,C1(C(C(C(C(C(=C(C([H])([H])[H])C(C(C(C2(C(=C(C1([H])[H])C(O2)=O)[H])[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])(O[H])[H]
8448,8462,8462,010028126.pickle,010028126.csv,C=12C(=C(C(=C(C1[H])C(=O)OC(C(C(C(C(C(C(C3(C(C2([H])[H])=C(C(C(C3(Br)[H])([H])[H])([H])[H])C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])(Br)[H])(O[H])C([H])([H])[H])([H])[H])([H])[H])(C(C([H])([H])[H])(O[H])C([H])([H])[H])[H])[H])[H])O[H]
8449,8463,8463,010113810.pickle,010113810.csv,C1(=C(C(=C(C(=C1[H])[H])[H])[H])[H])C(=C(C(O[H])=O)[H])[H]
8450,8464,8464,010114184.pickle,010114184.csv,C(C(C(C([H])([H])[H])([H])[H])([H])[H])(C(C(C(=O)C([H])([H])[H])([H])[H])([H])[H])([H])[H]
8451,8465,8465,010114558.pickle,010114558.csv,C1(O[H])(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H]
8452,8466,8466,010116054.pickle,010116054.csv,C1(=C(C(=C(C2=C1C(N(C(C2([H])[H])(C(O[H])([H])[H])[H])C(C(C#CC([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H]
8453,8467,8467,010116428.pickle,010116428.csv,C1(=C(C2=C(O1)C(=C(C(=C2[H])[H])[H])[H])[H])C3=C(C4=C(O3)C(=C(C(=C4[H])[H])[H])[H])[H]
8454,8468,8468,010116802.pickle,010116802.csv,C1(N(C(=C(C(N1[H])=O)[H])C([H])([H])[H])[H])=S
8455,8469,8469,010116804.pickle,010116804.csv,C1(C(=C(C(C=2C(=C(C(=C(C12)[H])[H])[H])O[H])=O)[H])C([H])([H])[H])=O
8456,8470,8470,010116805.pickle,010116805.csv,C1(C2=C(C(=C(C(=C2[H])[H])[H])[H])S(O1)(=O)=O)=O
8457,8471,8471,010116808.pickle,010116808.csv,C1(=C(C(=C(C(=C1[H])[H])S(=O)(Cl)=O)[H])[H])C([H])([H])[H]
8458,8472,8472,010117176.pickle,010117176.csv,C1(=C(C(=C(C(=C1C=2C(=C(C(=C(C2[H])[H])[H])[H])[H])[H])[N+](=O)[O-])[H])[H])N([H])[H]
8459,8473,8473,010117550.pickle,010117550.csv,C=1(C#CC=2C(=C(C(=C(C2[H])[H])[H])[H])[H])C(=C(C(=C(C1N(C(=O)C([H])([H])[H])S(C3=C(C(=C(C(=C3[H])[H])C([H])([H])[H])[H])[H])(=O)=O)[H])[H])[H])[H]
8460,8474,8474,010117924.pickle,010117924.csv,C1(=C(C(=C(C(=C1[H])C(O[H])(C#CBr)[H])[H])[H])[H])[H]
8461,8475,8475,010118298.pickle,010118298.csv,C=1(C(=C(C(=C(C1[H])[H])[H])[H])[H])C=2C(=C(C(=C(C2[H])[N+]([O-])=O)[H])[H])I
8462,8476,8476,010118672.pickle,010118672.csv,C1(=O)C(=C(C(C([H])([H])[H])=C2C(=C1O[H])C(C(C(C2([H])[H])(C(=C([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])[H])O[H]
8463,8477,8477,010119046.pickle,010119046.csv,C=1(C(=C(C(=C(C1I)Br)[H])[H])[H])Br
8464,8478,8478,010119420.pickle,010119420.csv,C=1(C(=C(C(=C2C1C(C(OC2=O)(C([H])([H])[H])[H])([H])[H])O[H])C(N(C(C(C=3C(=C(C(=C(C3[H])[H])[H])[H])[H])([H])[H])(C(=O)O[H])[H])[H])=O)[H])Cl
8465,8479,8479,010119794.pickle,010119794.csv,C=1(C(OC(C1C=2C(=C(C(=C(C2[H])[H])OC([H])([H])[H])[H])[H])(C=3C(=C(C(=C(C3[H])[H])[H])[H])[H])[H])=O)O[H]
8466,8480,8480,020000100.pickle,020000100.csv,C1(C(C2(C(OC1(C([H])([H])[H])C(=C([H])[H])[H])(C(C(C(C2(C(C(C(=O)OC([H])([H])[H])([H])[H])([H])[H])C([H])([H])[H])(C(O[H])(C([H])([H])[H])C([H])([H])[H])[H])(O[H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H]
8467,8481,8481,020000123.pickle,020000123.csv,C1(C(=C(C(C(=C1C([H])([H])[H])[H])=O)[H])C([H])([H])[H])=O
8468,8482,8482,020000140.pickle,020000140.csv,C=1(C(=C(C(=C(C1[H])C(C(O[H])([H])[H])(N([H])[H])[H])[H])[H])[H])[H]
8469,8483,8483,020000142.pickle,020000142.csv,C1=2C(=C(C(=C(C2C3(C(C(O1)([H])[H])(C=4C(O3)=C5C(=C(OC5=C(C4[H])[H])C(C([H])([H])[H])(C(O[H])([H])[H])O[H])[H])[H])[H])[H])[H])O[H])[H]
8470,8484,8484,020000143.pickle,020000143.csv,C1(C(C2(C(C3(C1(C(C(C4(C(C(OC34[H])=O)=C([H])[H])[H])(O[H])[H])([H])[H])C([H])([H])[H])[H])(O2)C([H])([H])[H])[H])(O[H])[H])(OC(C(C([H])([H])[H])=C([H])[H])=O)[H]
8471,8485,8485,020000160.pickle,020000160.csv,C1(=C(C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])Br)Br
8472,8486,8486,020000161.pickle,020000161.csv,C1(C(C(C(C(C(=C(C1([H])[H])Br)Br)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
8473,8487,8487,020000200.pickle,020000200.csv,C1(=C(C(=C(C(=C1C(=O)OC([H])([H])[H])O[H])C(=O)OC([H])([H])[H])O[H])[H])C(C(OC([H])([H])[H])=O)([H])[H]
8474,8488,8488,020000222.pickle,020000222.csv,C(OB1OB(OB(O1)OC([H])([H])[H])OC([H])([H])[H])([H])([H])[H]
8475,8489,8489,020000223.pickle,020000223.csv,C(OB(OC(C([H])([H])[H])([H])[H])OC(C([H])([H])[H])([H])[H])(C([H])([H])[H])([H])[H]
8476,8490,8490,020000240.pickle,020000240.csv,C1(C(C(C2(C(C1([H])[H])(C(C(=C([H])[H])C(C2([H])[H])([H])[H])(C(C(C(=C([H])[H])C(=C([H])[H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])=O)([H])[H]
8477,8491,8491,020000242.pickle,020000242.csv,C1(C2=C(OC(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])(C1(O[H])[H])[H])C(=C(C(=C2O[H])[H])OC([H])([H])[H])O[H])=O
8478,8492,8492,020000243.pickle,020000243.csv,C1(C(C2(C(OC(=O)C([H])([H])[H])([H])[H])C(C(C3(C(O3)(C([H])([H])[H])C(OC(C([H])([H])[H])=O)([H])[H])C(C(C(=C1[H])C([H])([H])[H])=O)([H])[H])([H])[H])(O2)[H])([H])[H])([H])[H]
8479,8493,8493,020000280.pickle,020000280.csv,C1(C=2C(C(O[H])([H])[H])=C(OC(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])C(C([H])([H])[H])=C(C2OC=3C(=C(C(C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])=C(C13)O[H])[H])[H])[H])=O
8480,8494,8494,020000300.pickle,020000300.csv,C=1(C(=C(C(=C(C1OC([H])([H])[H])[H])C(C(C(C([H])([H])[H])(O[H])[H])([H])[H])([H])[H])[H])[H])O[H]
8481,8495,8495,020000301.pickle,020000301.csv,C1(C(C(C(C2(C1(C([H])([H])[H])C(C(C([H])([H])[H])(OC(=O)C([H])([H])[H])C(C2([H])[H])([H])[H])(C(C(C(C([H])([H])[H])(C(C(O[H])=O)([H])[H])[H])([H])[H])([H])[H])[H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H]
8482,8496,8496,020000340.pickle,020000340.csv,C1(C(O[H])(C(C2(C(C([H])([H])[H])(C1([H])[H])C3(C(=C(C2([H])[H])[H])C4(C(C(C(O[H])(C4([H])[H])[H])(C(C5(OC(C(C5(O[H])[H])(C(C([H])([H])[H])([H])[H])[H])(C(O[H])([H])[H])C([H])([H])[H])[H])(C(O[H])([H])[H])[H])O[H])(C([H])([H])[H])C(C3([H])[H])([H])[H])[H])[H])[H])([H])[H])[H])([H])[H]
8483,8497,8497,020000341.pickle,020000341.csv,C1(C(C(C(C2(C1(C3(C4(C(C2([H])[H])(OC(C(C4(C(C(C3=O)(OC(=O)C([H])([H])[H])[H])(C([H])([H])[H])[H])[H])(OC(=O)C(C([H])([H])[H])(C(C([H])([H])[H])([H])[H])[H])[H])=O)[H])C(OC(=O)C([H])([H])[H])([H])[H])[H])C([H])([H])[H])[H])(C([H])([H])[H])[H])([H])[H])(OC(C([H])([H])[H])=O)[H])(OC(C([H])([H])[H])=O)[H]
8484,8498,8498,020000342.pickle,020000342.csv,C=12OC(C(C2=C(C(=C(C1[H])O[H])[H])C(=C(C3=C(C(=C(C(=C3[H])[H])O[H])[H])[H])[H])[H])(C4=C(C(=C5C(OC(C5(C6=C(C(=C(C(=C6[H])O[H])[H])O[H])[H])[H])(C7=C(C(=C(C(=C7[H])[H])O[H])[H])[H])[H])=C4[H])O[H])[H])[H])(C8=C(C(=C(C(=C8[H])[H])O[H])[H])[H])[H]
8485,8499,8499,020000360.pickle,020000360.csv,C=1(C(=C(C(=C(C1[H])C(=O)OC([H])([H])[H])[H])[H])[N+](=O)[O-])[H]
8486,8500,8500,020000363.pickle,020000363.csv,C=1(C(=C(C(=C(C1[H])C(C(=O)OC([H])([H])[H])([H])[H])[H])[H])[H])[H]
8487,8501,8501,020000380.pickle,020000380.csv,C1(C2(C(OC(C(C(C(C(C(=C(C(C(=C(C2(C(C1(Cl)[H])(O[H])[H])[H])[H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])=O)(C(C([H])([H])[H])([H])[H])[H])[H])([H])[H]
8488,8502,8502,020000381.pickle,020000381.csv,C=1(C(=C(C(C(C([H])([H])[H])(C(O[H])(C(C(C(C(C(C(OC(C(C([H])([H])[H])=C(C2=C(SC(=N2)C([H])([H])[H])[H])[H])(C(C1[H])([H])[H])[H])=O)([H])[H])(O[H])[H])(C([H])([H])[H])[H])=O)(C([H])([H])[H])[H])[H])[H])([H])[H])[H])[H])C([H])([H])[H]
