,hnmr,graph,file,smiles
973,010021970.csv,010021970.pickle,010021970,C1(=C(C(=C(C(=C1[H])[H])N(C(C([H])([H])[H])([H])[H])C(C(O[H])([H])[H])([H])[H])[H])[H])C(=[N+](C([H])([H])[H])[O-])[H]
974,020044932.csv,020044932.pickle,020044932,C(C#N)(C(OC([H])([H])[H])([H])[H])([H])[H]
979,010015933.csv,010015933.pickle,010015933,C1(C(=C(C(C(=C1C([H])([H])[H])C([H])([H])[H])=O)C([H])([H])[H])C([H])([H])[H])=O
990,010021679.csv,010021679.pickle,010021679,C1(=C(C(=C(C(=C1[H])[H])C([H])([H])[H])OC(C(C([H])([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H]
1004,020096818.csv,020096818.pickle,020096818,C(C(C(=O)[O-])([H])[H])(C(=O)[O-])(O[H])[H]
1005,020054730.csv,020054730.pickle,020054730,C1(=C(C(=C(C(=C1C([H])([H])[H])[H])[H])[H])N(C([H])([H])[H])[H])[H]
1007,010018557.csv,010018557.pickle,010018557,C1(=C(C(=NC(=C1C(=O)C(C(C(N(C([H])([H])[H])N=O)([H])[H])([H])[H])([H])[H])[H])[H])[H])[H]
1009,010022500.csv,010022500.pickle,010022500,C(SC(=O)C([H])([H])[H])(C(C(O[H])=O)([H])[H])([H])[H]
1010,020026252.csv,020026252.pickle,020026252,C(Cl)(C(C([H])([H])[H])(Cl)[H])([H])[H]
1012,020053267.csv,020053267.pickle,020053267,C=1(C(=C(C(=C(C1[H])[H])C(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])(O[H])[H])[H])[H])[H]
1014,010021804.csv,010021804.pickle,010021804,C1(=C(C(=C(C(=C1[H])[H])OC(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])[H])C(=O)[H]
1018,020097628.csv,020097628.pickle,020097628,C(C(C(OC1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])(Cl)[H])([H])([H])[H]
1020,010021660.csv,010021660.pickle,010021660,C(N1C(C(Br)([H])[H])=C(Br)C(=O)N1C=2C(=C(C(=C(C2[H])[H])[H])[H])[H])([H])([H])[H]
1021,010022029.csv,010022029.pickle,010022029,C1(=C(C(=C(C(=C1O[H])C(=O)C(C=2C(=C(C(=C(N2)[H])[H])[H])[H])([H])[H])[H])[H])O[H])[H]
1023,010016149.csv,010016149.pickle,010016149,C1(N2C(N3C(N1C(N(C2([H])[H])C3([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
1025,020111951.csv,020111951.pickle,020111951,ClC1=C(SC(=C1[H])[H])[H]
1027,020169175.csv,020169175.pickle,020169175,O1C=2C(=C(C(=C(C2OC([H])([H])[H])[H])[H])C(C(C(=O)C(=C(OC([H])([H])[H])C(C(C3=C(C(=C1C(=C3[H])[H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H]
1028,020040418.csv,020040418.pickle,020040418,C1(=C(C(=C(C(=C1C(=O)[H])[H])F)F)[H])[H]
1031,010008673.csv,010008673.pickle,010008673,C(C(C(N(C(C([H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])(N([H])[H])([H])[H]
1032,010023301.csv,010023301.pickle,010023301,C=1(C(=C(C(=C(C1[H])[H])Br)[H])[H])[N+](=O)[O-]
1037,010028027.csv,010028027.pickle,010028027,C(C(C([H])([H])[H])(C([H])([H])[H])[H])(C1(C(C(C(C(C1=O)(C([H])([H])[H])C([H])([H])[H])(OC2(C(C(C(C(O2)(C(OC(C=3C(=C(C(=C(C3[H])O[H])O[H])O[H])[H])=O)([H])[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])[H])[H])(C([H])([H])[H])C([H])([H])[H])=O)O[H])([H])[H]
1038,000075416.csv,000075416.pickle,000075416,C(OC1(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])(C(C([H])([H])[H])=C([H])[H])=O
1039,010022168.csv,010022168.pickle,010022168,C1(=C(C(=C(C(=C1[H])[H])C#CC2=C(C(=C(C(=C2[H])[H])[N+](=O)[O-])[H])[H])[H])[H])N(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
1041,020143610.csv,020143610.pickle,020143610,C=1(N(C=2C(=C(C(=C(C2[H])Cl)S(O[H])(=O)=O)[H])Cl)N=C(C1[H])C([H])([H])[H])O[H]
1048,020173513.csv,020173513.pickle,020173513,N12C(C(=C(C(=C1[H])[H])[H])[H])=C3C(C(C(C(C(C(C3=C2C(=O)OC([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
1051,010022036.csv,010022036.pickle,010022036,C1(=C(C(=C(C(=C1[H])O[H])C2=C(C(=C(C(=C2[H])[H])[H])[H])O[H])[H])[H])[H]
1054,010015956.csv,010015956.pickle,010015956,C1(=C(C(=C(C(=C1C(=O)[H])[H])[H])[H])[H])[N+]([O-])=O
1055,010021910.csv,010021910.pickle,010021910,C1(=C(C2(C(C1(C(C2(OC(=O)C([H])([H])[H])[H])([H])[H])[H])([H])[H])[H])[H])[H]
1061,010021829.csv,010021829.pickle,010021829,C1(=C(C(=C(C(=C1[H])[H])C(C(C(=O)N([H])C(C(O[H])=O)(C(C(=O)N([H])C(C(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])([H])[H])(C(=O)N([H])C(C(=O)O[H])(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])[H])([H])[H])[H])(N([H])[H])[H])([H])[H])[H])[H])O[H]
1064,020027185.csv,020027185.pickle,020027185,C1(=C(C(=C(S1)OC([H])([H])[H])[H])[H])C#CC=2SC(=C(C2[H])[H])C#CC=3SC(=C(C3[H])[H])C(=O)[H]
1066,010022732.csv,010022732.pickle,010022732,C(OC(=O)C12C(=C(C(C(=O)C1=O)(C3=C2C(C(C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])([H])([H])[H]
1067,020027742.csv,020027742.pickle,020027742,C1(=C(C(=NC(=C1[H])N(C([H])([H])[H])C([H])([H])[H])[H])[H])[H]
1071,020123610.csv,020123610.pickle,020123610,C1(=C(C(=C(C2=C1C(=C(N2[H])[H])[H])[H])[H])Cl)[H]
1073,000008111.csv,000008111.pickle,000008111,C(C(C(C(C#N)([H])[H])([H])[H])(C([H])([H])[H])[H])([H])([H])[H]
1075,010022415.csv,010022415.pickle,010022415,C1(=C(C(=C(C(=C1I)[H])[H])[H])[H])C(C(=O)[H])([H])[H]
1076,000019873.csv,000019873.pickle,000019873,C(S(C(C#N)([H])[H])(=O)=O)([H])([H])[H]
1077,010022753.csv,010022753.pickle,010022753,C=1(C(=C(N=C(C1C(=C(C2=C(OC(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(=C(C(=C(C=3C(=NC(=C(C3[H])[H])[H])[H])[H])[H])C(OC(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])=C2[H])[H])[H])[H])[H])[H])[H])[H]
1087,020175855.csv,020175855.pickle,020175855,O1C(OC2(C(C3(C(C(C2([H])[H])([H])[H])(C4(C(C(C5(C(C4(C(C3([H])[H])([H])[H])[H])(O[H])C(C(C5(C6=C(C(OC6([H])[H])=O)[H])[H])(OC(C([H])([H])[H])=O)[H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])[H])([H])[H])[H])(C(C(C(C1(C([H])([H])[H])[H])(O[H])[H])(OC([H])([H])[H])[H])(O[H])[H])[H]
1089,020096924.csv,020096924.pickle,020096924,C(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])=O)(Br)([H])[H]
1090,020171110.csv,020171110.pickle,020171110,C12(C(C(=C(C(C1([H])[H])(C2([H])[H])[H])[H])[H])(Br)[H])[H]
1095,020167738.csv,020167738.pickle,020167738,N1(C=2C(N=C(C1=O)[H])=C(C(=C(C2[H])[H])F)[H])[H]
1099,010021832.csv,010021832.pickle,010021832,C1(C(N(C(C1(C(=O)OC(C([H])([H])[H])([H])[H])[H])=O)[H])([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H]
1102,020112718.csv,020112718.pickle,020112718,C(C(C(C([H])([H])[H])=C([H])[H])([H])[H])(C([H])([H])[H])(C([H])([H])[H])[H]
1106,010021984.csv,010021984.pickle,010021984,C1(=C(C(=C(C(=C1[H])[H])C(=C(C2=C(C(=C(C(=C2[H])[H])N(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H])[H])[H])[H]
1118,020170604.csv,020170604.pickle,020170604,O1C=2C(C(C(C1([H])[H])(C=3C(=C(C(=C(C3[H])[H])OC([H])([H])[H])C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])[H])=O)=C(C(=C(C2[H])O[H])C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])O[H]
1124,010005795.csv,010005795.pickle,010005795,C1(=C(C(=C(C(=C1[H])[H])[H])[H])[H])C(N(C(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])([H])[H])[H])([H])[H]
1127,010021773.csv,010021773.pickle,010021773,C1(=C(C(=C2C(=C1[H])OC(C(OC(C(OC(C(OC(C(OC=3C(C(=C2[H])[H])=C(C(=C(C3[H])C([H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])C([H])([H])[H]
1130,020097551.csv,020097551.pickle,020097551,C(C(C(C(=O)[O-])([H])[H])([H])[H])(=O)[O-]
1134,020145451.csv,020145451.pickle,020145451,C=12N(C3=C(C1C(=C(C(=C2[H])C(=O)[H])[H])[H])C(=C(C(=C3[H])[H])[H])[H])C([H])([H])[H]
1137,020146973.csv,020146973.pickle,020146973,C1(=C(C(=C(C(=C1[N+](=O)[O-])[H])[H])C([H])([H])[H])[N+](=O)[O-])C([H])([H])[H]
1141,020097573.csv,020097573.pickle,020097573,C(C(C([H])([H])[H])(C(OC(=O)C(=C([H])[H])C([H])([H])[H])([H])[H])[H])([H])([H])[H]
1142,020123623.csv,020123623.pickle,020123623,C(Br)(C(Br)(C(Br)(C(Br)([H])[H])[H])[H])([H])[H]
1143,020143183.csv,020143183.pickle,020143183,C(=O)(C([H])([H])[H])N(C(C([H])([H])[H])=O)C(C(N(C(=O)C([H])([H])[H])C(=O)C([H])([H])[H])([H])[H])([H])[H]
1145,010021864.csv,010021864.pickle,010021864,C1(=C(C(=C(C(=C1[H])C2=C(C(N(C2=O)C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])[H]
1146,010022001.csv,010022001.pickle,010022001,C1(=C(C(=C(C(=C1[H])[H])C(=O)C(O[H])(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])[H])[H])[H])[H]
1147,010021807.csv,010021807.pickle,010021807,C1(=C(C(=C(C2=C1C(=C(N2[H])[H])[H])[H])F)[H])[H]
1148,010019223.csv,010019223.pickle,010019223,C1(=C(C(=C(C2=C1C(=C3C(O2)=NC(N(C3=O)[H])=O)[H])OC([H])([H])[H])[H])[H])[H]
1150,010017001.csv,010017001.pickle,010017001,P(N(C([H])([H])[H])C([H])([H])[H])(N(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])C([H])([H])[H]
1159,000074915.csv,000074915.pickle,000074915,C1(=C(C(=C(C(=C1[H])Cl)[H])[H])C#N)[H]
1166,020096793.csv,020096793.pickle,020096793,C(=C(C(C(C(=O)O[H])([H])[H])(C(=O)O[H])[H])C(=O)O[H])([H])[H]
1172,010022003.csv,010022003.pickle,010022003,C1(=C(C(=C(C(=C1[H])[H])C(C2=C(C(=C(C(=C2[H])[H])O[H])[H])[H])(C(C(F)(F)F)(F)F)[H])[H])[H])O[H]
1178,020176005.csv,020176005.pickle,020176005,O1C(C(C2(C(C1(C(C(=C(C(=C(C(C(C(OC(C(=C(C2([H])[H])[H])[H])=O)(C(C(C(C([H])([H])[H])=C(C(=C(C(=C(C3=C(OC(=N3)C([H])([H])[H])[H])[H])C([H])([H])[H])[H])[H])[H])(O[H])[H])(C([H])([H])[H])[H])[H])([H])[H])(O[H])[H])C([H])([H])[H])[H])[H])[H])(C([H])([H])[H])[H])[H])([H])[H])[H])([H])[H])=O
1182,020045685.csv,020045685.pickle,020045685,C=1(N(N=C(C1[H])N([H])[H])[H])[H]
1185,020096505.csv,020096505.pickle,020096505,C(OC=1C(=C(C(=NN1)Cl)[H])[H])([H])([H])[H]
1187,010017226.csv,010017226.pickle,010017226,C(Cl)(OC([H])([H])[H])([H])[H]
1190,010022002.csv,010022002.pickle,010022002,C1(=C(C(=C(C(=C1[H])[H])OC(C(C(C(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])[H])[H])C(=O)[H]
1193,020172730.csv,020172730.pickle,020172730,O1C(OC2(C(OC(C(C2(OC([H])([H])[H])[H])([H])[H])(OC3(C(C4(C(C(C3([H])[H])([H])[H])(C5(C(C(C6(C(C5(C(C4([H])[H])([H])[H])[H])(O[H])C(C(C6(C7=C(C(OC7([H])[H])=O)[H])[H])(OC(C([H])([H])[H])=O)[H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])[H])([H])[H])[H])[H])(C([H])([H])[H])[H])[H])(C(C(C(C1(C(OC8(OC(C(C(C8(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])([H])[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])[H]
1194,000003198.csv,000003198.pickle,000003198,C1(=C(C(=C2C(=C1[H])C(C3=C(C2=O)C(=C(C(=C3[H])OC([H])([H])[H])C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])(C=4C(=C(C(=C(C4OC(C(=C(C(C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])O[H])C(C5=C(C(=C(C(=C5[H])[H])[H])[H])[H])=O)O[H])[H])O[H])=O)O[H])[H])C([H])([H])[H]
1196,020096800.csv,020096800.pickle,020096800,C(C(C(C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
1197,020143920.csv,020143920.pickle,020143920,C1(=NC(=NC(=N1)N([H])[H])N(C(C(=C([H])[H])[H])([H])[H])C(C(=C([H])[H])[H])([H])[H])N([H])[H]
1199,010022056.csv,010022056.pickle,010022056,C1(=C(C(=C(C2=C1N3C(=N2)N(C(C(=C3N([H])[H])C#N)(C4=C(C(=C(C(=C4[H])[H])OC([H])([H])[H])[H])[H])[H])[H])[H])[H])[H])[H]
1204,010018673.csv,010018673.pickle,010018673,C=1(C(=C(C(=C(C1Cl)[H])[H])[H])[H])C(=O)[H]
1205,000010345.csv,000010345.pickle,000010345,C=1(C(=C(N=C(C1[H])C([H])([H])[H])[H])C([H])([H])[H])[H]
1206,020096821.csv,020096821.pickle,020096821,C1(=NC2=C(C(N=C(N2[H])[H])=O)N1[H])[H]
1207,010006046.csv,010006046.pickle,010006046,C1(=C(C(=C(C(=C1[H])Br)[H])Br)O[H])C(Br)([H])[H]
1211,020174458.csv,020174458.pickle,020174458,C12(C(C(=C(C(C(C(C(C(=C(C(C1(OC(=O)C([H])([H])[H])[H])(C([H])([H])[H])[H])[H])[H])(C([H])([H])[H])C([H])([H])[H])(OC(=O)C([H])([H])[H])[H])([H])[H])=O)C([H])([H])[H])[H])(C(C(C2([H])[H])(C([H])([H])[H])[H])(OC(=O)C=3C(=C(C(=C(C3[H])[H])[H])[H])[H])[H])[H])O[H]
1212,010022082.csv,010022082.pickle,010022082,C1(=C(C(SS1)=S)C2=C(C(=C(C(=C2[H])[H])S(C([H])([H])[H])(=O)=O)[H])[H])C3=C(C(=C(C(=C3[H])[H])OC([H])([H])[H])[H])[H]
1214,010022016.csv,010022016.pickle,010022016,C1(=C(C(=C(C(=C1[H])[H])N2C(C(N(C(C2([H])[H])([H])[H])C(=O)N(C(C([H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])[H])O[H]
1218,010021959.csv,010021959.pickle,010021959,C1(=C(C(N(C1=O)C(C([H])([H])[H])(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])[H])([H])[H])[H])C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
1219,010021663.csv,010021663.pickle,010021663,C1(=C(C(=C(C(=C1[H])[H])C(=C(C2=NN=C(C(=C2[H])[H])C(=C(C3=C(C(=C(C(=C3[H])[H])OC(C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])Br)[H])[H])Br)[H])[H])OC(C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
1228,020020607.csv,020020607.pickle,020020607,C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])(N(C=2C(=C(C(=C(C2[H])[H])[H])[H])[H])[H])(C#N)C(C(C(=O)C([H])([H])[H])([H])[H])([H])[H]
1229,020096499.csv,020096499.pickle,020096499,C1(=C(C(=C(C(=C1C([O-])=O)[H])[H])O[H])[H])[H]
1231,010021779.csv,010021779.pickle,010021779,C(=C(C(OC(C(OC([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H]
1234,020096848.csv,020096848.pickle,020096848,C(=C(C1=C(C(=C(C(=C1Cl)[H])[H])[H])[H])[H])([H])[H]
1240,000105208.csv,000105208.pickle,000105208,C1(C2(C(C(C(C3(C1(C(C(C4(C3(C(=C(C4=O)[H])C(C([H])([H])[H])(C([H])([H])[H])[H])[H])C([H])([H])[H])=O)([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])(O2)C([H])([H])[H])[H])(O[H])[H]
1245,020035530.csv,020035530.pickle,020035530,C1(=C(C(=C(C(=C1OC([H])([H])[H])[H])C(=O)N([H])[H])[H])OC([H])([H])[H])OC([H])([H])[H]
1246,010021861.csv,010021861.pickle,010021861,C1(=C(C(=C(C(=C1OC([H])([H])[H])[H])C(=C(C2=C(N=C(S2)N(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])OC([H])([H])[H])[H]
1251,010021866.csv,010021866.pickle,010021866,C12(N3N(C(C(=C1[H])[H])(C(C2(N4C(N(C(N4[H])=O)C5=C(C(=C(C(=C5[H])[H])[H])[H])[H])=O)[H])([H])[H])[H])C(N(C3=O)C6=C(C(=C(C(=C6[H])[H])[H])[H])[H])=O)[H]
1253,010021723.csv,010021723.pickle,010021723,C=1(C(=C(C=2C1C(=C(C(=C(C2[H])C(C([H])([H])[H])(C([H])([H])[H])[H])[H])[H])C([H])([H])[H])C([H])([H])[H])[H])C(=O)[H]
1254,020112319.csv,020112319.pickle,020112319,S(C(C([H])([H])[H])(C([H])([H])[H])[H])C(C(C([H])([H])[H])([H])[H])([H])[H]
1255,020096424.csv,020096424.pickle,020096424,C(C(C(C(C(C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
1257,010022093.csv,010022093.pickle,010022093,C1(=C(C(=C(C(=C1O[H])C(=O)C(C2=C(C(=C(C(=C2[H])[H])N([H])[H])[H])[H])([H])[H])[H])[H])O[H])C([H])([H])[H]
1259,010016687.csv,010016687.pickle,010016687,C(OC(C(OC(C(OC([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
1260,020026354.csv,020026354.pickle,020026354,C(C(C(O[H])=O)(S[H])[H])([H])([H])[H]
1267,020032783.csv,020032783.pickle,020032783,C=1(C(=C(C(=C(C1C([H])([H])[H])[H])[H])[H])[N+](=O)[O-])[N+](=O)[O-]
1271,010021672.csv,010021672.pickle,010021672,C1(=C(C(=C(C2=C1C(C(C(C2([H])[H])([H])[H])=C(OS(C(F)(F)F)(=O)=O)[H])=O)[H])[H])[H])[H]
1273,020031259.csv,020031259.pickle,020031259,C=1(C(=C(C(=C(C1[H])C([H])([H])[H])[H])N([H])[H])OC([H])([H])[H])[H]
1275,020096903.csv,020096903.pickle,020096903,O=C(N(C(O[H])([H])[H])[H])C(=C([H])[H])[H]
1276,010009209.csv,010009209.pickle,010009209,C(C([Si](OC(C([H])([H])[H])([H])[H])(OC(C([H])([H])[H])([H])[H])OC(C([H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
1277,020169472.csv,020169472.pickle,020169472,O1C(C(C(C(C1(C(O[H])([H])[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(OC(C(C(O[H])(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C([H])([H])[H])(O[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H]
1278,010022506.csv,010022506.pickle,010022506,C1(=C(C2(C(C1(C3(C2(C(N(C3=O)C(C(=O)O[H])([H])[H])=O)[H])[H])[H])([H])[H])[H])[H])[H]
1280,020097603.csv,020097603.pickle,020097603,C(C(C(O[H])([H])[H])([H])[H])(C(C(O[H])([H])[H])([H])[H])([H])[H]
1282,010016892.csv,010016892.pickle,010016892,C(=S)(N(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H]
1285,010025227.csv,010025227.pickle,010025227,C=1(OC(=C(C1[H])Br)C([H])([H])[H])C2(N(C(C(N2C([H])([H])[H])([H])[H])([H])[H])C([H])([H])[H])[H]
1288,010022248.csv,010022248.pickle,010022248,C1(C(C(C(OC1([H])[H])(N2C(C(C(C(=C2[H])C(C(=C([H])[H])[H])([H])[H])=O)([H])[H])(C=3C(=C(C(=C(C3[H])[H])Cl)[H])[H])[H])[H])(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H]
1289,020143616.csv,020143616.pickle,020143616,C(C(C([H])([H])[H])(C(O[H])(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])([H])[H]
1291,010018647.csv,010018647.pickle,010018647,C1(=C(C(=C(C(=C1C(Br)(Br)[H])C(Br)(Br)[H])[H])[H])[H])[H]
1293,020097225.csv,020097225.pickle,020097225,C(C=1C(=C(C(=C(C1O[H])[H])[H])C2(C=3C(=C(C(=C(C([H])([H])[H])C3[H])O[H])[H])[H])C4=C(C(=C(C(=C4S(=O)(=O)O2)[H])[H])[H])[H])[H])([H])([H])[H]
1295,020097548.csv,020097548.pickle,020097548,C1(=C(C(=C(C(=C1[N+]([O-])=O)[H])O[H])[N+]([O-])=O)[H])[H]
1299,020143560.csv,020143560.pickle,020143560,C1(=C(C(=C(C(=C1OC(=O)C([H])([H])[H])[H])[H])N(C(=O)C([H])([H])[H])[H])[H])[H]
1301,010022037.csv,010022037.pickle,010022037,C1(OC(C(C(C1(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])(C(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])(N2C(=C(C(C(C2(C(C([H])([H])[H])([H])[H])[H])([H])[H])=O)[H])[H])[H]
1305,010017802.csv,010017802.pickle,010017802,C(C(=O)OC([H])([H])[H])(F)(F)F
1310,020165000.csv,020165000.pickle,020165000,C12=C(C=3C(C(=C1C(=C(C(=C2[H])[H])[H])[H])[H])=C(C(=C(C3[H])[H])[H])[H])C(=O)[H]
1313,020097238.csv,020097238.pickle,020097238,C1(=C(C(=C(C(=C1[H])N([H])[H])S[H])[H])[H])[H]
1314,010016433.csv,010016433.pickle,010016433,C(C(=C(C(C([H])([H])[H])(C([H])([H])[H])[H])C([H])([H])[H])[H])([H])([H])[H]
1315,010022088.csv,010022088.pickle,010022088,C1(=C(C(=C(C(=C1O[H])C(=O)C(C2=C(C(=C(C(=C2[H])Cl)[H])[H])[H])([H])[H])[H])[H])O[H])C([H])([H])[H]
1316,020078844.csv,020078844.pickle,020078844,C1(OC(C(C(O[H])(C1(O[H])[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])(OC(C(=C(C2=C(C(=C(C(=C2[H])[H])O[H])[H])[H])[H])[H])=O)[H]
1318,020105583.csv,020105583.pickle,020105583,C1(C(=C(C(C(C2(C1(C(C(C3(C2(C(=C(C3=O)[H])C(C([H])([H])[H])(C([H])([H])[H])[H])[H])C([H])([H])[H])=O)([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C(O[H])([H])[H])[H])([H])[H]
1324,020143613.csv,020143613.pickle,020143613,C(O[Si](C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])(OC(C([H])([H])[H])([H])[H])OC(C([H])([H])[H])([H])[H])(C([H])([H])[H])([H])[H]
1326,020096901.csv,020096901.pickle,020096901,C(C(N(C(C([H])([H])[H])([H])[H])C(C(C#N)([H])[H])([H])[H])([H])[H])([H])([H])[H]
1327,020097250.csv,020097250.pickle,020097250,C1(=C(C(=C(C(=C1[H])S([O-])(=O)=O)[H])S([O-])(=O)=O)[H])[H]
1328,020171260.csv,020171260.pickle,020171260,O1C(C2(C3(C(C4(C(C(C5(C6(C4(C(C3([H])[H])([H])[H])C6([H])[H])C(C(C(C5(C([H])([H])[H])C([H])([H])[H])(O[H])[H])([H])[H])([H])[H])[H])(OC7(C(C(C(C(O7)(C(O[H])([H])[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])[H])[H])([H])[H])[H])(C(C2(O[H])[H])([H])[H])C([H])([H])[H])C([H])([H])[H])[H])(C(C(C1(C(O[H])(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])C([H])([H])[H]
1331,020112316.csv,020112316.pickle,020112316,S(C(C(O[H])([H])[H])([H])[H])C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H]
1333,020105211.csv,020105211.pickle,020105211,C1(C2(C3(C(C45C(C1(O[H])[H])(C(=O)C(O4)(C6(C(C(C5([H])[H])([H])[H])(C(C(C6([H])C7(C(=C(C(O7)=O)C([H])([H])[H])[H])[H])([H])C([H])([H])[H])=O)C([H])([H])[H])[H])O[H])[H])([H])[H])C(OC2(C([H])([H])[H])C([H])([H])[H])(C(C(O3)=O)([H])[H])[H])[H])([H])[H]
