,Unnamed: 0.1,index,Unnamed: 0,graph,cnmr,smiles
4962,4962,4971,4971,010017657.pickle,010017657.csv,C1(=C(C(=C(C2=C1C3=C4N2C(C(C5(C4(N(C(C3([H])[H])([H])[H])C(C(C5([H])[H])([H])[H])([H])[H])[H])C(C([H])([H])[H])([H])[H])([H])[H])(O[H])C(=O)OC([H])([H])[H])[H])[H])[H])[H]
4964,4964,4973,4973,010017659.pickle,010017659.csv,C12=C(C(=C(C3=C1C(=C(N3[H])[H])C(C4(C2(C(=C(C(N4C([H])([H])[H])([H])[H])C([H])([H])[H])[H])[H])[H])([H])[H])[H])[H])[H]
4965,4965,4974,4974,010017660.pickle,010017660.csv,C12=C(C(=C(C3=C1C(=C(N3[H])[H])C(C4(C2(C(C(C(N4C([H])([H])[H])([H])[H])(C(=O)OC([H])([H])[H])[H])([H])[H])[H])[H])([H])[H])[H])[H])[H]
4966,4966,4975,4975,010017661.pickle,010017661.csv,C12=C(C(=C(C3=C1C(=C(N3[H])[H])C(C4(C2=C(C(C(N4C([H])([H])[H])([H])[H])(C(=O)N(C(C([H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H])[H])[H])[H])([H])[H])[H])[H])[H]
4967,4967,4976,4976,010017662.pickle,010017662.csv,C12=C(C(=C(C3=C1C(=C(N3[H])[H])C(C4(C2=C(C(C(N4C([H])([H])[H])([H])[H])(C(=O)N(C5(C(N6C(O5)(C7(N(C(C6(C(C8=C(C(=C(C(=C8[H])[H])[H])[H])[H])([H])[H])[H])=O)C(C(C7([H])[H])([H])[H])([H])[H])[H])O[H])=O)C([H])([H])[H])[H])[H])[H])[H])([H])[H])[H])[H])[H]
4968,4968,4977,4977,010017663.pickle,010017663.csv,C1(=C(C(=C(C2=C1C3=C(N2[H])C4(N(C(C3([H])[H])([H])[H])C(C(C(C4([H])[H])(C(C5(N(C(C(C6=C5N(C7=C6C(=C(C(=C7[H])[H])[H])[H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H])(C(C([H])([H])[H])([H])[H])[H])([H])[H])[H])[H])[H])[H])[H]
4969,4969,4978,4978,010017666.pickle,010017666.csv,C1(=C2C(=C(C3=C1C(C(N(C3(C4(C5=C(C(O4)=O)C(=C(C(=C5[H])[H])OC([H])([H])[H])OC([H])([H])[H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])OC(O2)([H])[H])[H]
4970,4970,4979,4979,010017667.pickle,010017667.csv,C1(=C(C(=C(C2=C1C(C(N(C2(C3(C4=C(C(O3)=O)C5=C(C(=C4[H])[H])OC(O5)([H])[H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])OC([H])([H])[H])OC([H])([H])[H])[H]
4971,4971,4980,4980,010017668.pickle,010017668.csv,C1(=C(C(=C(C2=C1C(C(N3C2(C(C4=C(C3([H])[H])C(=C(C(=C4[H])[H])OC([H])([H])[H])OC([H])([H])[H])(C([H])([H])[H])[H])[H])([H])[H])([H])[H])[H])OC([H])([H])[H])OC([H])([H])[H])[H]
4972,4972,4981,4981,010017670.pickle,010017670.csv,C1(=C(C(=C(C2=C1C(C(N(C(C3=C(C(C2=O)([H])[H])C(=C(C(=C3OC([H])([H])[H])OC([H])([H])[H])[H])[H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])OC([H])([H])[H])OC([H])([H])[H])[H]
4973,4973,4982,4982,010017672.pickle,010017672.csv,C1(=C(C(=C2C3=C1C(C(N(C3(C(C4=C2C(=C5C(=C4[H])OC(O5)([H])[H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])OC([H])([H])[H])OC([H])([H])[H])[H]
4974,4974,4983,4983,010017673.pickle,010017673.csv,C1(=C2C(=C3C4=C1C(C(N(C4(C(C5=C3C(=C(C(=C5[H])OC([H])([H])[H])OC([H])([H])[H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])OC(O2)([H])[H])[H]
4975,4975,4984,4984,010017674.pickle,010017674.csv,C1(=C(C(=C2C3=C1C(C(N(C3(C(C24C(=C(C(C(=C4[H])[H])=O)[H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])O[H])OC([H])([H])[H])[H]
4976,4976,4985,4985,010017675.pickle,010017675.csv,C1(=C(C(=C2C3=C1C(C(N(C3(C(C24C(C(C(C(=C4[H])[H])=O)([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])OC([H])([H])[H])OC([H])([H])[H])[H]
4977,4977,4986,4986,010017676.pickle,010017676.csv,C1(=C(C2=C3C(=C1[H])C(C4(C5(C3(C(C(C(=C5[H])[H])(O[H])[H])(O2)[H])C(C(N4C([H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])O[H])[H]
4978,4978,4987,4987,010017677.pickle,010017677.csv,C1(=C(C2=C3C(=C1[H])C(C4(C5(C3(C(C(C(=C5[H])[H])(O[H])[H])(O2)[H])C(C(N4C([H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])OC([H])([H])[H])[H]
4980,4980,4989,4989,010017679.pickle,010017679.csv,C1(=C(C(=C2C(=C1[H])C(C3(C4(C2(C(C(C(=C4[H])OC([H])([H])[H])=O)([H])[H])C(C(N3C([H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])O[H])OC([H])([H])[H])[H]
4981,4981,4990,4990,010017680.pickle,010017680.csv,C1(C(=C(C23C(C1([H])[H])(N(C(C2(OC(C4=C3C(=C5C(=C4[H])OC(O5)([H])[H])[H])([H])[H])O[H])([H])[H])C([H])([H])[H])[H])[H])[H])(OC([H])([H])[H])[H]
4982,4982,4991,4991,010017681.pickle,010017681.csv,C12(C(C(C(=C3C1(N(C(C4=C2C(=C(C(=C4[H])OC([H])([H])[H])OC([H])([H])[H])[H])([H])[H])C(C3([H])[H])([H])[H])[H])[H])(OC([H])([H])[H])[H])(O[H])[H])[H]
4983,4983,4992,4992,010017682.pickle,010017682.csv,C12(C3(C(=C(C(C1(OC(C4=C2C(=C(C(=C4[H])OC([H])([H])[H])OC([H])([H])[H])[H])(O[H])[H])[H])([H])[H])[H])C(C(N3C([H])([H])[H])([H])[H])([H])[H])[H])[H]
4984,4984,4993,4993,010017684.pickle,010017684.csv,C1(=C2C(=C(C3=C1C4(C=5C(N(C3([H])[H])C4([H])[H])(C(C(C(C5[H])(OC([H])([H])[H])[H])(O[H])[H])([H])[H])[H])[H])[H])OC(O2)([H])[H])[H]
4985,4985,4994,4994,010017686.pickle,010017686.csv,C1(=C(C(=C(C2=C1C(C3=C(N2C([H])([H])[H])OC(C3([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])O[H])[H])=O)[H])[H])[H])[H]
4986,4986,4995,4995,010017690.pickle,010017690.csv,C1(=C(C(=C(C2=C1C3=C(C(N2C([H])([H])[H])=O)C(C(O3)(C(O[H])(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])[H])[H])[H]
4987,4987,4996,4996,010017691.pickle,010017691.csv,C1(=C(C(=C(C2=C1C34C(C(N2[H])=O)(C(C5(C3(N(C(C4([H])[H])([H])[H])C(C(=C5[H])[H])([H])[H])[H])C(=C([H])[H])[H])([H])[H])[H])[H])[H])[H])[H]
4988,4988,4997,4997,010017692.pickle,010017692.csv,C1(=C(C(=C(C=2C1=C(C(=C(N2)[H])[H])C(C3(C(C4(C(C(N3C(C4([H])[H])([H])[H])([H])[H])(C(C([H])([H])[H])([H])[H])[H])[H])([H])[H])[H])(O[H])[H])[H])[H])OC([H])([H])[H])[H]
4989,4989,4998,4998,010017694.pickle,010017694.csv,C1(=C(C(=C(C2=C1C(C(C(C=3C2=C(C(=C(C(C3[H])=O)OC([H])([H])[H])[H])[H])(N(C(=O)C([H])([H])[H])[H])[H])([H])[H])([H])[H])OC([H])([H])[H])OC([H])([H])[H])OC([H])([H])[H])[H]
4990,4990,4999,4999,010017695.pickle,010017695.csv,C1(=C(C(=C(C2=C1C(C(C(C=3C2=C(C(=C(C(C3[H])=O)OC([H])([H])[H])[H])[H])(N(C([H])([H])[H])[H])[H])([H])[H])([H])[H])OC([H])([H])[H])OC([H])([H])[H])OC([H])([H])[H])[H]
4991,4991,5000,5000,010017697.pickle,010017697.csv,C1(C(C(C(C2(C1(C3(C(C(C2([H])[H])([H])[H])(C4(C(C(C3([H])[H])([H])[H])(C5(C(C4([H])[H])(OC6(C5(C([H])([H])[H])[H])N(C(C(C(C6([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])[H])[H])C([H])([H])[H])[H])[H])[H])C([H])([H])[H])[H])([H])[H])(O[H])[H])([H])[H])([H])[H]
4992,4992,5001,5001,010017698.pickle,010017698.csv,C1(C(C(C(C=2C1(C3(C(C(C2[H])([H])[H])(C4(C(C(C3([H])[H])([H])[H])(C5(C(C4([H])[H])(OC6(C5(C([H])([H])[H])[H])N(C(C(C(C6([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])[H])[H])C([H])([H])[H])[H])[H])[H])C([H])([H])[H])([H])[H])(O[H])[H])([H])[H])([H])[H]
4993,4993,5002,5002,010017701.pickle,010017701.csv,C12=C(C(=C(C(=C1[H])[H])OC(C(C(N(C(C(N(C(=C2[H])[H])[H])=O)(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])[H])=O)(N([H])C(=O)C(N(C([H])([H])[H])C([H])([H])[H])(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])[H])[H]
4994,4994,5003,5003,010017702.pickle,010017702.csv,C1(=C(C(=C(C(=C1[H])C(=O)C(=C(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])[H])[H])O[H])[H])[H])[H]
4995,4995,5004,5004,010017703.pickle,010017703.csv,C1(=C(C(=C(C(=C1[H])C(=O)C(=C(C2=C(C(=C(C(=C2O[H])[H])[H])[H])[H])[H])[H])O[H])[H])[H])[H]
4996,4996,5005,5005,010017704.pickle,010017704.csv,C1(=C(C(=C(C(=C1[H])C(=O)C(=C(C2=C(C(=C(C(=C2[H])[H])O[H])[H])[H])[H])[H])O[H])[H])O[H])[H]
4997,4997,5006,5006,010017706.pickle,010017706.csv,C1(OC(C(C1(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])(OC2(OC(C(C(C2(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])C(O[H])([H])[H]
4998,4998,5007,5007,010017710.pickle,010017710.csv,C1(=NC(=NC2=C1N=C(N2C3(OC(C(C3(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H])[H])[H]
4999,4999,5008,5008,010017712.pickle,010017712.csv,S1(C2(N(C(C1(C([H])([H])[H])C([H])([H])[H])(C(=O)OC([H])([H])[H])[H])C(C2(N([H])C(=O)C([H])([H])[H])[H])=O)[H])=O
5000,5000,5009,5009,010017714.pickle,010017714.csv,C1(=C2C(=C(C3=C1C(=C(C(O3)=O)[H])[H])[H])OC(=C2[H])[H])[H]
5001,5001,5010,5010,010017717.pickle,010017717.csv,C1(=C2C(=C(C3=C1C(C(O3)(C(OC(=O)C(=C(C([H])([H])[H])C([H])([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])OC(C(=C2[H])[H])=O)[H]
5002,5002,5011,5011,010017718.pickle,010017718.csv,C1(=C2C(=C(C3=C1C(=C(O3)[H])[H])O[H])OC(C(=C2[H])[H])=O)[H]
5003,5003,5012,5012,010017719.pickle,010017719.csv,C1(=C2C(=C(C3=C1C(=C(O3)[H])[H])[H])OC(C(=C2[H])[H])=O)OC(C(=O)C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H]
5004,5004,5013,5013,010017720.pickle,010017720.csv,C1(=C2C(=C(C3=C1C(=C(O3)[H])[H])OC(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])OC(C(=C2[H])[H])=O)[H]
5005,5005,5014,5014,010017721.pickle,010017721.csv,C1(=C(C(=C(C2=C1C(=C(C(O2)=O)[H])[H])[H])O[H])OC3(OC(C(C(C3(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H]
5006,5006,5015,5015,010017722.pickle,010017722.csv,C1(C(C(C(C2(C1(C(C(C(C2([H])[H])([H])[H])=C([H])[H])(C(OC3=C(C4=C(C(=C3[H])[H])C(=C(C(O4)=O)[H])[H])[H])([H])[H])[H])C([H])([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])(OC(C([H])([H])[H])=O)[H])([H])[H])([H])[H]
5007,5007,5016,5016,010017723.pickle,010017723.csv,C1(=C(C(=C(C2=C1OC(C(C2=O)(C(C3=C(C(=C(C(=C3[H])[H])O[H])[H])[H])([H])[H])[H])([H])[H])O[H])OC([H])([H])[H])O[H])[H]
5008,5008,5017,5017,010017724.pickle,010017724.csv,C1(=C(C(=C(C2=C1OC(C(C2=O)(C(C3=C(C(=C(C(=C3[H])[H])O[H])[H])[H])([H])[H])[H])([H])[H])O[H])OC([H])([H])[H])OC([H])([H])[H])[H]
5009,5009,5018,5018,010017725.pickle,010017725.csv,C1(=C(C(=C(C2=C1OC(C(C2=O)(C(C3=C(C(=C(C(=C3[H])[H])O[H])[H])[H])([H])[H])[H])([H])[H])O[H])OC([H])([H])[H])OC([H])([H])[H])O[H]
5010,5010,5019,5019,010017726.pickle,010017726.csv,C1(=C(C(=C(C2=C1OC(C(C2=O)(C(C3=C(C(=C(C(=C3[H])[H])O[H])[H])[H])([H])[H])[H])([H])[H])O[H])[H])O[H])[H]
5011,5011,5020,5020,010017727.pickle,010017727.csv,C1(=C(C(=C(C2=C1OC(C(C2=O)(C(C3=C(C(=C(C(=C3[H])[H])O[H])[H])[H])([H])[H])[H])([H])[H])O[H])[H])OC([H])([H])[H])[H]
5012,5012,5021,5021,010017728.pickle,010017728.csv,C1(=C(C(=C(C2=C1OC(C(C2=O)(C(C3=C(C(=C(C(=C3[H])[H])O[H])[H])[H])([H])[H])[H])([H])[H])O[H])[H])OC([H])([H])[H])OC([H])([H])[H]
5013,5013,5022,5022,010017729.pickle,010017729.csv,C1(=C(C(=C(C2=C1OC(C(C2=O)(C(C3=C(C(=C(C(=C3[H])[H])O[H])[H])[H])([H])[H])[H])([H])[H])O[H])[H])OC([H])([H])[H])OC(C([H])([H])[H])=O
5014,5014,5023,5023,010017730.pickle,010017730.csv,C1(=C(C(=C(C2=C1OC(C(C2=O)(C(C3=C(C(=C(C(=C3[H])O[H])OC([H])([H])[H])[H])[H])([H])[H])[H])([H])[H])O[H])[H])O[H])[H]
5015,5015,5024,5024,010017731.pickle,010017731.csv,C1(C(C(C(C(C1(C(C(C2(C(C(N(C(C2([H])[H])=O)[H])=O)([H])[H])[H])([H])[H])(O[H])[H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])(C([H])([H])[H])[H])=O
5016,5016,5025,5025,010017732.pickle,010017732.csv,C1(=C(C(=C(C2=C1C(C3=C(C2=O)C(=C4C(=C3[H])OC5(OC4(C(C(C5([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])O[H])=O)O[H])[H])O[H])[H]
5017,5017,5026,5026,010017733.pickle,010017733.csv,C1(=C(C(=C(C2=C1C(C3=C(C2=O)C(=C4C(=C3[H])OC5(C4(C(=C(O5)[H])[H])[H])[H])O[H])=O)O[H])[H])O[H])[H]
5018,5018,5027,5027,010017734.pickle,010017734.csv,C1(C(C(C(C2(C1(C3(C(=C(C2([H])[H])[H])C(C(C(C3([H])[H])([H])[H])(C([H])([H])[H])C(=C([H])[H])[H])([H])[H])[H])C([H])([H])[H])[H])(C(O[H])([H])[H])C([H])([H])[H])=O)([H])[H])([H])[H]
5019,5019,5028,5028,010017735.pickle,010017735.csv,C1(C(C(C(C2(C1(C3(C(=C(C2([H])[H])[H])C(C(C(C3([H])[H])([H])[H])(C([H])([H])[H])C(=C([H])[H])[H])([H])[H])[H])C([H])([H])[H])[H])(C(O[H])([H])[H])C([H])([H])[H])(O[H])[H])(O[H])[H])([H])[H]
5020,5020,5029,5029,010017736.pickle,010017736.csv,C1(C(C(C(C2(C1(C3(C(=C(C2([H])[H])[H])C(C(C(C3([H])[H])([H])[H])(C([H])([H])[H])C(=C([H])[H])[H])([H])[H])[H])C([H])([H])[H])[H])(C(O[H])([H])[H])C([H])([H])[H])(O[H])[H])([H])[H])([H])[H]
5021,5021,5030,5030,010017737.pickle,010017737.csv,C1(C(C(C(C2(C1(C3=C(C(C2([H])[H])([H])[H])C(C(C(C3([H])[H])([H])[H])(C([H])([H])[H])C(=C([H])[H])[H])([H])[H])C([H])([H])[H])[H])(C(O[H])([H])[H])C([H])([H])[H])(O[H])[H])([H])[H])([H])[H]
5022,5022,5031,5031,010017738.pickle,010017738.csv,C1(C(C(C(C2(C1(C3=C(C(C2([H])[H])([H])[H])C(C(C(C3([H])[H])([H])[H])(C([H])([H])[H])C(=C([H])[H])[H])([H])[H])C([H])([H])[H])[H])(C(O[H])([H])[H])C([H])([H])[H])(O[H])[H])(O[H])[H])([H])[H]
5023,5023,5032,5032,010017739.pickle,010017739.csv,C(C(C(C(C(C(C(C(C(=C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(=O)OC([H])([H])[H]
5024,5024,5033,5033,010017740.pickle,010017740.csv,C12=C(C(=C(C(C(=C1O[H])[H])=O)O[H])[H])C(C(OC2([H])[H])(C([H])([H])[H])O[H])([H])[H]
5025,5025,5034,5034,010017742.pickle,010017742.csv,S1C2(N(C(=C(C1([H])[H])C([H])([H])[H])C(=O)O[H])C(C2(N(C(=O)C(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])(N([H])[H])[H])[H])[H])=O)[H]
5026,5026,5035,5035,010017743.pickle,010017743.csv,S1C2(N(C(=C(C1([H])[H])C(OC(=O)C([H])([H])[H])([H])[H])C(=O)[O-])C(C2(N(C(=O)C(C(C(C(N([H])[H])(C(=O)O[H])[H])([H])[H])([H])[H])([H])[H])[H])[H])=O)[H].[Na+]
5027,5027,5036,5036,010017744.pickle,010017744.csv,S1C2(N(C(=C(C1([H])[H])C([H])([H])[H])[H])C(C2(N(C(=O)C(OC3=C(C(=C(C(=C3[H])[H])[H])[H])[H])([H])[H])[H])[H])=O)[H]
5029,5029,5038,5038,010017746.pickle,010017746.csv,C1(C(SSC1(C(C(C(C(C(=O)O[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H]
5030,5030,5039,5039,010017747.pickle,010017747.csv,C1(=NC(=NC2=C1N=C(N2[H])[H])[H])N(C(C(=C(C([H])([H])[H])C(O[H])([H])[H])[H])([H])[H])[H]
5031,5031,5040,5040,010017748.pickle,010017748.csv,C1(=C(C(=C(C2=C1C3(C(C(O2)(C([H])([H])[H])C([H])([H])[H])(C(C(C(=C3[H])C([H])([H])[H])([H])[H])([H])[H])[H])[H])[H])C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])O[H]
5032,5032,5041,5041,010017749.pickle,010017749.csv,C1(=C(C(=C(C2=C1OC(C3=C2OC4=C3C(=C(C(=C4[H])[H])[H])[H])=O)[H])[H])[H])[H]
5033,5033,5042,5042,010017750.pickle,010017750.csv,C1(=C(C(=C(C2=C1OC(C3=C2OC4=C3C(=C(C(=C4[H])O[H])O[H])[H])=O)[H])[H])[H])[H]
5034,5034,5043,5043,010017751.pickle,010017751.csv,C1(=C(C(=C(C2=C1OC(C3=C2OC4=C3C(=C(C(=C4OC([H])([H])[H])O[H])O[H])[H])=O)[H])[H])[H])[H]
5035,5035,5044,5044,010017754.pickle,010017754.csv,C1(C(C(C(N1[H])([H])[H])([H])[H])([H])[H])(C(=O)N([H])C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])(C(=O)N([H])C(C(=O)N([H])[H])([H])[H])[H])[H]
5036,5036,5045,5045,010017755.pickle,010017755.csv,C1(C(=O)N(C(C(N(C(C(N(C(C(SSC(C(C(N(C(C(N1[H])=O)(C(C2=C(C(=C(C(=C2[H])[H])O[H])[H])[H])([H])[H])[H])[H])=O)(N([H])[H])[H])([H])[H])([H])[H])(C(=O)N3C(C(C(C3(C(=O)N([H])C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])(C(=O)N([H])C(C(=O)N([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])[H])=O)(C(C(=O)N([H])[H])([H])[H])[H])[H])=O)(C(C(C(=O)N([H])[H])([H])[H])([H])[H])[H])[H])(C(C([H])([H])[H])(C(C([H])([H])[H])([H])[H])[H])[H]
5037,5037,5046,5046,010017756.pickle,010017756.csv,C1(C(=O)N(C(C(N(C(C(N(C(C(SSC(C(C(N(C(C(N1[H])=O)(C(C2=C(C(=C(C(=C2[H])[H])O[H])[H])[H])([H])[H])[H])[H])=O)(N([H])[H])[H])([H])[H])([H])[H])(C(=O)N3C(C(C(C3(C(=O)N([H])C(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(=O)N([H])C(C(=O)N([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])[H])=O)(C(C(=O)N([H])[H])([H])[H])[H])[H])=O)(C(C(C(=O)N([H])[H])([H])[H])([H])[H])[H])[H])(C(C4=C(C(=C(C(=C4[H])[H])[H])[H])[H])([H])[H])[H]
5038,5038,5047,5047,010017759.pickle,010017759.csv,S=C(C1(C(C1([H])[H])([H])[H])[H])C2(C(C2([H])[H])([H])[H])[H]
5039,5039,5048,5048,010017760.pickle,010017760.csv,O=C(C(=C(N(C([H])([H])[H])C([H])([H])[H])[H])[H])[H]
5040,5040,5049,5049,010017761.pickle,010017761.csv,S=C(C(=C(N(C([H])([H])[H])C([H])([H])[H])[H])[H])[H]
5041,5041,5050,5050,010017762.pickle,010017762.csv,C(C(O[H])([H])[H])([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H]
5042,5042,5051,5051,010017763.pickle,010017763.csv,C(C(OC(C([H])([H])[H])=O)([H])[H])([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H]
5043,5043,5052,5052,010017764.pickle,010017764.csv,N1(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])C(=C(C([H])([H])[H])[H])[H]
5044,5044,5053,5053,010017765.pickle,010017765.csv,N1(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])C(=C(C([H])([H])[H])[H])[H]
5045,5045,5054,5054,010017766.pickle,010017766.csv,C(=C(C(=C(N(C([H])([H])[H])C([H])([H])[H])[H])C([H])([H])[H])[H])([H])[H]
5046,5046,5055,5055,010017767.pickle,010017767.csv,O=C(C(=C(C(=C(N(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H])[H]
5047,5047,5056,5056,010017768.pickle,010017768.csv,[N+](=C(C(=C(C(=C(N(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H])[H])(C([H])([H])[H])C([H])([H])[H]
5048,5048,5057,5057,010017769.pickle,010017769.csv,[N+](=C(C(=C(N(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])(C([H])([H])[H])C([H])([H])[H]
5049,5049,5058,5058,010017770.pickle,010017770.csv,C1(N(C(C(N1[H])([H])[H])([H])[H])[H])=NC2=C(C(=C(C(=C2[H])[H])[H])[H])[H]
5050,5050,5059,5059,010017771.pickle,010017771.csv,C1(N(C(C(C1([H])[H])([H])[H])([H])[H])[H])=NC2=C(C(=C(C(=C2[H])[H])[H])[H])[H]
5051,5051,5060,5060,010017772.pickle,010017772.csv,C1(=C(C(=C(C(=C1[H])[H])[N+](=C(N(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H]
5052,5052,5061,5061,010017773.pickle,010017773.csv,C1(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C#N)[H]
5053,5053,5062,5062,010017774.pickle,010017774.csv,C1(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([N+]#[C-])[H]
5054,5054,5063,5063,010017775.pickle,010017775.csv,[C-](C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[N+]#N
5055,5055,5064,5064,010017776.pickle,010017776.csv,C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])=[N+]=[N-]
5056,5056,5065,5065,010017777.pickle,010017777.csv,[C-](C(=O)OC(C([H])([H])[H])([H])[H])(C(OC(C([H])([H])[H])([H])[H])=O)[N+]#N
5057,5057,5066,5066,010017778.pickle,010017778.csv,C(C(=O)OC(C([H])([H])[H])([H])[H])([H])=[N+]=[N-]
5058,5058,5067,5067,010017779.pickle,010017779.csv,N(=C=NC(C([H])([H])[H])([H])[H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
5059,5059,5068,5068,010017781.pickle,010017781.csv,C(C(C(ON=O)([H])[H])(C([H])([H])[H])[H])(C([H])([H])[H])([H])[H]
5060,5060,5069,5069,010017782.pickle,010017782.csv,C(C(C([H])([H])[H])(C([H])([H])[H])[H])(N(N=O)C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H]
5061,5061,5070,5070,010017783.pickle,010017783.csv,C1(=C(C(=C(C(=C1P([H])[H])N([H])[H])[H])[H])[H])[H]
5062,5062,5071,5071,010017784.pickle,010017784.csv,C1(=C(C(=C(C2=C1C(=C(C(=C2[H])[H])[H])I)[H])[H])[H])I
5063,5063,5072,5072,010017785.pickle,010017785.csv,C1(=C(C(=C2C3=C1C(=C(C(=C3C(=C(C(=C2[H])[H])[H])[H])[H])[H])[H])[H])[H])[H]
5064,5064,5073,5073,010017786.pickle,010017786.csv,C12=C(C(=C3C4=C1C(=C(C(=C4C(=C(C(=C3[H])[H])[H])[H])[H])[H])C(C2([H])[H])([H])[H])[H])[H]
5065,5065,5074,5074,010017787.pickle,010017787.csv,C12=C(C(=C3C4=C1C(=C(C(=C4C(=C(C(=C3[H])[H])[H])[H])[H])[H])C(=C2[H])[H])[H])[H]
5066,5066,5075,5075,010017788.pickle,010017788.csv,C12=C(C(=C3C4=C1C(=C(C(=C4C(=C3[H])[H])[H])[H])C(=C2[H])[H])[H])[H]
5067,5067,5076,5076,010017789.pickle,010017789.csv,C1(=C(C(=C2C3=C1C4=C5C3=C(C(=C2[H])[H])C(=C(C5=C(C(=C4[H])[H])[H])[H])[H])[H])[H])[H]
5068,5068,5077,5077,010017790.pickle,010017790.csv,C=1(C(=C(C2=C(C(=C(C(=C(C1[H])C2([H])[H])[H])[H])[H])[H])[H])[H])[H]
5069,5069,5078,5078,010017792.pickle,010017792.csv,C1(=C(C(=NC(=C1N([H])[H])[H])[H])[H])N([H])[H]
5070,5070,5079,5079,010017793.pickle,010017793.csv,C1(=NC(=NC(=C1[H])N([H])[H])N([H])[H])N([H])[H]
5071,5071,5080,5080,010017794.pickle,010017794.csv,C1(=NC(=NC(=C1N([H])[H])N([H])[H])[H])N([H])[H]
5072,5072,5081,5081,010017795.pickle,010017795.csv,C1(=C(C(=C(C(=C1[H])[H])N2C(=C(C(=NC2=S)[H])C(C([H])([H])[H])([H])[H])[H])[H])[H])[H]
5073,5073,5082,5082,010017796.pickle,010017796.csv,S1C(=C(SC=2C1=C(SN2)C#N)C#N)C#N
